30,-5,0,1,0,1
30,-3,0,0.999,0.1,1
30,-1,0,0.986,1.4,1
30,1,0,0.972,2.8,1
30,3,0,0.927,7.3,1
30,5,0,0.817,18.3,1
30,7,0,0.607,39.3,1
30,9,0,0.347,65.3,1
30,11,0,0.16,84,1
30,13,0,0.076,92.4,1
30,15,0,0.027,97.3,1
30,17,0,0.015,98.5,1
30,19,0,0.004,99.6,1
30,21,0,0.001,99.9,1
30,23,0,0.001,99.9,1
30,25,0,0.001,99.9,1
30,27,0,0,100,1
30,29,0,0,100,1
30,-5,1,0.986,0.351229302558957,3.986
30,-3,1,0.959,1.03326612903226,3.968
30,-1,1,0.904,2.45336059289548,3.913
30,1,1,0.749,6.70405982905983,3.744
30,3,1,0.445,16.582013743651,3.347
30,5,1,0.125,32.7592661924373,2.671
30,7,1,0.012,52.1372031662269,1.895
30,9,1,0,69.060773480663,1.448
30,11,1,0,84.1042893187552,1.189
30,13,1,0,92.8505106778087,1.077
30,15,1,0,97.4658869395711,1.026
30,17,1,0,99.5024875621891,1.005
30,19,1,0,99.403578528827,1.006
30,21,1,0,100,1
30,23,1,0,100,1
30,25,1,0,100,1
30,27,1,0,100,1
30,29,1,0,100,1
