scs_khz,speed_kmh,snr_db,bler,thr_bpsHz,latency_ms,harq_on
15,0,-5,0.999986325990915,2.69170859237057e-06,NaN,0
15,0,-3,0.99993227585038,2.01348550059054e-05,NaN,0
15,0,-1,0.999664649869534,0.000147412521150225,NaN,0
15,0,1,0.998341198919826,0.00104932914623573,NaN,0
15,0,3,0.99183742884684,0.00719716326070354,NaN,0
15,0,5,0.960834277203236,0.0464901737908472,NaN,0
15,0,7,0.832018385133924,0.259200655472977,NaN,0
15,0,9,0.5,0.970430390085762,NaN,0
15,0,11,0.167981614866076,1.97238554438121,NaN,0
15,0,13,0.0391657227967644,2.71271935557417,NaN,0
15,0,15,0.00816257115315989,3.2649247209349,NaN,0
15,0,17,0.00165880108017442,3.76460065541329,NaN,0
15,0,19,0.000335350130466478,4.25540739620574,NaN,0
15,0,21,0.0001,4.74680961614697,NaN,0
15,0,23,0.0001,5.24007353445752,NaN,0
15,0,25,0.0001,5.73516179833062,NaN,0
15,0,27,0.0001,6.23140822776651,NaN,0
15,0,29,0.0001,6.72838825137497,NaN,0
15,120,-5,0.999993855825398,9.78051570744394e-07,NaN,0
15,120,-3,0.999969568443099,7.37887630087061e-06,NaN,0
15,120,-1,0.99984928964194,5.4648512498715e-05,NaN,0
15,120,1,0.999253971166163,0.000394865070348668,NaN,0
15,120,3,0.996315760100564,0.00276317992457692,NaN,0
15,120,5,0.982013790037908,0.0184822426951375,NaN,0
15,120,7,0.916827303506078,0.113047051830985,NaN,0
15,120,9,0.689974481127613,0.538620396775335,NaN,0
15,120,11,0.310025518872388,1.48505996062025,NaN,0
15,120,13,0.0831726964939224,2.37877602193417,NaN,0
15,120,15,0.0179862099620916,3.00097416702148,NaN,0
15,120,17,0.00368423989943599,3.51725885315208,NaN,0
15,120,19,0.000746028833836697,4.01016318476343,NaN,0
15,120,21,0.000150710358059757,4.50093889264138,NaN,0
15,120,23,0.0001,4.99315924620264,NaN,0
15,120,25,0.0001,5.48743820275227,NaN,0
15,120,27,0.0001,5.9831712463886,NaN,0
15,120,29,0.0001,6.47982624433387,NaN,0
30,0,-5,0.999992789751998,1.33222603046879e-06,NaN,0
30,0,-3,0.99996428842572,9.99263787673565e-06,NaN,0
30,0,-1,0.9998231443812,7.3429345571988e-05,NaN,0
30,0,1,0.999124640363571,0.000525329533277134,NaN,0
30,0,3,0.995679266480088,0.00363248640534712,NaN,0
30,0,5,0.978958652979532,0.0239408593024796,NaN,0
30,0,7,0.903784458289307,0.143045635796579,NaN,0
30,0,9,0.654753460606319,0.648688394917837,NaN,0
30,0,11,0.27687819487561,1.6664186020094,NaN,0
30,0,13,0.0717575422637514,2.55659513987837,NaN,0
30,0,15,0.0153677055652756,3.17124255432631,NaN,0
30,0,17,0.00314121328482943,3.68686418421504,NaN,0
30,0,19,0.000635793968395229,4.18094441272986,NaN,0
30,0,21,0.00012842975741318,4.67290243046094,NaN,0
30,0,23,0.0001,5.16594724384815,NaN,0
30,0,25,0.0001,5.66081169480356,NaN,0
30,0,27,0.0001,6.15691621082317,NaN,0
30,0,29,0.0001,6.65380641392719,NaN,0
30,120,-5,0.999996760213871,4.8356380825282e-07,NaN,0
30,120,-3,0.999983953439761,3.65665054490943e-06,NaN,0
30,120,-1,0.999920525908083,2.71677223775038e-05,NaN,0
30,120,1,0.999606485873673,0.000197143838834399,NaN,0
30,120,3,0.998053939014914,0.00138807386023212,NaN,0
30,120,5,0.990434681327908,0.00939664395023125,NaN,0
30,120,7,0.954348829215556,0.0596320779004447,NaN,0
30,120,9,0.808454651438533,0.321417724654419,NaN,0
30,120,11,0.460085115444434,1.12741378104006,NaN,0
30,120,13,0.146790339801382,2.15592651419563,NaN,0
30,120,15,0.0335692232814825,2.88554844825122,NaN,0
30,120,17,0.00696408917776209,3.43439541548558,NaN,0
30,120,19,0.00141388381246065,3.93473713903754,NaN,0
30,120,21,0.000285780700841879,4.42681515882998,NaN,0
30,120,23,0.0001,4.91918918284752,NaN,0
30,120,25,0.0001,5.41318734516539,NaN,0
30,120,27,0.0001,5.90874211966205,NaN,0
30,120,29,0.0001,6.40528419609482,NaN,0
60,0,-5,0.999996198077895,6.59145318284869e-07,NaN,0
60,0,-3,0.999981169239547,4.95685388182466e-06,NaN,0
60,0,-1,0.999906737575226,3.65523813095562e-05,NaN,0
60,0,1,0.999538238423476,0.000262714205657619,NaN,0
60,0,3,0.997717047146497,0.00182859014669278,NaN,0
60,0,5,0.988793593678157,0.0122123283424674,NaN,0
60,0,7,0.946848863601936,0.0760798672090075,NaN,0
60,0,9,0.782449776423112,0.395444426143388,NaN,0
60,0,11,0.420675747851251,1.29704580798787,NaN,0
60,0,13,0.127861566319081,2.34216408903187,NaN,0
60,0,15,0.02874849592654,3.0593755989808,NaN,0
60,0,17,0.00594052219834037,3.60472982785562,NaN,0
60,0,19,0.00120508423377895,4.10552609477329,NaN,0
60,0,21,0.000243536539731753,4.59866856462048,NaN,0
60,0,23,0.0001,5.09186417163668,NaN,0
60,0,25,0.0001,5.58648903110034,NaN,0
60,0,27,0.0001,6.08244157578068,NaN,0
60,0,29,0.0001,6.57923557113703,NaN,0
60,120,-5,0.999998291682702,2.39014010958226e-07,NaN,0
60,120,-3,0.999991538706172,1.81135055550387e-06,NaN,0
60,120,-1,0.999958092339037,1.3498498836283e-05,NaN,0
60,120,1,0.999792464377258,9.83471071231031e-05,NaN,0
60,120,3,0.998972911949289,0.000696197371359038,NaN,0
60,120,5,0.994933370666534,0.00475450401382592,NaN,0
60,120,7,0.97539757159726,0.0308614784093095,NaN,0
60,120,9,0.888944033288592,0.179862795230322,NaN,0
60,120,11,0.617747874769249,0.773894363778388,NaN,0
60,120,13,0.246011283551052,1.85448267242176,NaN,0
60,120,15,0.0618034662635885,2.73571058756115,NaN,0
60,120,17,0.0131253183371028,3.3424445010178,NaN,0
60,120,19,0.00267800918621311,3.85723381525966,NaN,0
60,120,21,0.00054183881737727,4.35226920606997,NaN,0
60,120,23,0.000109442698320505,4.84522753391564,NaN,0
60,120,25,0.0001,5.33897093679989,NaN,0
60,120,27,0.0001,5.83433483718952,NaN,0
60,120,29,0.0001,6.33075597401242,NaN,0
